presenca,presLed,luminosidade,luzLed
8.461538462,204,726.2,248.625
9.607843137,255,724.627451,245
9.272727273,231.8181818,716.3888889,231.3888889
10,255,688.0769231,196.1538462
4.8,0,726.6,255
9.744680851,244.1489362,716.2340426,244.1489362
10,255,725.5675676,248.1081081
9.285714286,224.6428571,726.1428571,249.0697674
9.777777778,255,725.0222222,243.4090909
9.130434783,199.5652174,726.8695652,249.4565217
9.782608696,255,723.7391304,243.9130435
9.361702128,227.8723404,724.8297872,249.5744681
8.47826087,200.7446809,713.9148936,222.4468085
9.375,227.8723404,723.4042553,239.0625
8.723404255,196.5625,715.6458333,227.8723404
6.47826087,90.66666667,706.7777778,221
8.52173913,199.5652174,694.5319149,168.1914894
7.916666667,148.75,692.9574468,200.7446809
9.574468085,227.8723404,701.0212766,227.8723404
9.565217391,227.2826087,696,217.0212766
8.222222222,170,703.1111111,226.0227273
9.268292683,223.902439,702.6829268,242.5609756
8.333333333,175.3125,697.2083333,207.1875
7.234042553,173.6170213,695.5319149,200.7446809
9.166666667,201.875,704.1041667,228.4375
10,255,700.5416667,218.5714286
9.84,255,688.7,202.9591837
9.56,255,715.0588235,250
8.571428571,202.9591837,710.0208333,244.5918367
9.183673469,228.9795918,710,244.375
9.489361702,233.2978723,695.9787234,184.4680851
9.458333333,249.6875,712.5208333,249.6875
8.541666667,171.7346939,687.5306122,187.3469388
5.538461538,32.69230769,691.1282051,124.2307692
4.583333333,10.85106383,696.4893617,135.6382979
5.5,70.125,726.15,255
5.608695652,37.9787234,729.2553191,255
4.765957447,16.63043478,721.8695652,255
4.888888889,28.33333333,714.6666667,249.4565217
4.869565217,0,712.1521739,221.7391304
5.333333333,28.33333333,709.6444444,255
5.304347826,0,719.1086957,243.9130435
4,0,646,170
4.311111111,0,633.4666667,0
4.638297872,0,625.6666667,0
8.042553191,166.3043478,656.8695652,155.2173913
10,255,712.9555556,243.6666667
8.723404255,200.7446809,714.7608696,249.5744681
10,255,706.2432432,240.8333333
7.222222222,141.6666667,715.2222222,201.3157895
8.333333333,175.3125,715.4166667,227.8723404
10,255,713.6382979,238.7234043
10,255,712.7021277,238.7234043
9.574468085,227.8723404,717.173913,222.4468085
10,255,718.8085106,244.1489362
9.574468085,227.8723404,716,243.9130435
10,255,711.2173913,227.2826087
8.936170213,200.7446809,696.2916667,127.5
9.787234043,255,716.4782609,232.826087
10,255,691.7333333,141.6666667
8.936170213,200.7446809,712.3191489,244.1489362
9.565217391,227.2826087,706.5434783,211.5957447
9.230769231,222.3076923,710,234.8684211
9.574468085,227.8723404,718.5957447,244.1489362
10,255,721.0208333,249.6875
10,255,712.6818182,243.4090909
10,255,711.5714286,247.7142857
10,255,712.5869565,243.9130435
9.574468085,227.8723404,715.5531915,249.5744681
9.787234043,255,713.4042553,244.375
10,255,712.4468085,238.7234043
10,255,718.0833333,249.5744681
9.347826087,227.2826087,713.6086957,243.9130435
10,255,715.2,249.3333333
10,255,719.7857143,242.8571429
9.361702128,227.8723404,722.2553191,249.5744681
9.302325581,225.3488372,720.9767442,243.1395349
8.461538462,191.25,722.95,248.625
7.377777778,156.4772727,723.4090909,249.3333333
9.288888889,209.6666667,722.8222222,243.4090909
9.523809524,224.6428571,715.3809524,236.7857143
9.727272727,237.6136364,712.0909091,243.4090909
9.813953488,243.1395349,710.2790698,249.0697674
9.872340426,255,711.2765957,244.375
9.688888889,255,711.673913,249.3333333
9.574468085,255,711.4130435,243.9130435
10,255,711.8085106,249.5744681
10,255,708.6829268,242.5609756
9.583333333,228.4375,709.9574468,249.5744681
9.617021277,244.1489362,708.8085106,244.1489362
